Participant_Info_Consent.block_1/Consent,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,dissent.started,dissent.stopped,Exclusion_Criteria_1.block_1/Mental_health_conditions,exclusion.started,exclusion.stopped,GroupAllocation.started,GroupAllocation.stopped,group,survey_demographics_IU.block_1/Sex,survey_demographics_IU.block_1/Age,survey_demographics_IU.block_1/Education,survey_demographics_IU.block_1/Ethnicity,survey_demographics_IU.block_1/Politics,survey_demographics_IU.block_1/IU_scale.q1,survey_demographics_IU.block_1/IU_scale.q2,survey_demographics_IU.block_1/IU_scale.q3,survey_demographics_IU.block_1/IU_scale.q4,survey_demographics_IU.block_1/IU_scale.q5,survey_demographics_IU.block_1/IU_scale.q6,survey_demographics_IU.block_1/IU_scale.q7,survey_demographics_IU.block_1/IU_scale.q8,survey_demographics_IU.block_1/IU_scale.q9,survey_demographics_IU.block_1/IU_scale.q10,survey_demographics_IU.block_1/IU_scale.q12,survey_demographics_IU.block_1/IU_scale.q11,Instructions.started,Instructions.stopped,Example.started,Example.stopped,Trials.started,Trials.stopped,Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,Feedback.started,Feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows,Scenarios.block_1/Expert Panel,Scenarios.block_1/Team Tension,Scenarios.block_1/Networking Gaffe,Scenarios.block_1/Viral Oversight,Scenarios.block_1/question16,ProgressBar.started,ProgressBar.stopped,feedback_14.started,feedback_14.stopped,press_spacebar.keys,press_spacebar.rt,press_spacebar.duration,show_feedback_low.thisRepN,show_feedback_low.thisTrialN,show_feedback_low.thisN,show_feedback_low.thisIndex,show_feedback_low.ran,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_1,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_2,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_3,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_4,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_5,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_6,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_7,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_8,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_9,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_10,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_11,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_12,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_13,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_14,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_15,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_16,ETMS_survey_end.block_1/Epistemic Trust Mistrust.Row 17,ETMS_survey_end.block_1/Epistemic Trust Mistrust.Row 18,ETMS_survey_end.block_1/Feedback check.Q3,ETMS_survey_end.block_1/StudyPurpose,ETMS_survey_end.block_1/WereYouEvaluated,ETMS_survey_end.block_1/Feedback_interpretation,ETMS_survey_end.block_1/Suspicious,ETMS_survey_end.block_1/Disclosure,ETMS_survey_end.block_1/Data use,End.started,End.stopped
,{{PROLIFIC_ID}},0,2026-09-07_09h55.17.838,Reading the Room,2026.1.3,Win32,144.9275362,6a07d9e7902dfd92616b2406,6a8d07dd262e1077153a9ddf,6a9dfd2a6ff74fc277541c5e,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,326.0628,328.7429,1,2680,-0.331481474,0.237962952,1,0,0,one_red_dot,328.743,329.7429,0,4,4,57,1,colour,images/4redDots.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},0,2026-09-07_09h55.17.838,Reading the Room,2026.1.3,Win32,144.9275362,6a07d9e7902dfd92616b2406,6a8d07dd262e1077153a9ddf,6a9dfd2a6ff74fc277541c5e,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,329.7435,333.562,1,3819,-0.097222222,0.237962952,1,0,0,two_yellow_triangles,333.5621,334.5624,0,5,5,14,1,colour,images/1yellowStar.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},0,2026-09-07_09h55.17.838,Reading the Room,2026.1.3,Win32,144.9275362,6a07d9e7902dfd92616b2406,6a8d07dd262e1077153a9ddf,6a9dfd2a6ff74fc277541c5e,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,334.5628,338.6176,1,4055,0.414814843,0.244444441,1,0,0,four_blue_stars,338.6178,339.6182,0,6,6,3,1,colour,images/1blueTriangle.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},0,2026-09-07_09h55.17.838,Reading the Room,2026.1.3,Win32,144.9275362,6a07d9e7902dfd92616b2406,6a8d07dd262e1077153a9ddf,6a9dfd2a6ff74fc277541c5e,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0:64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},0,2026-09-07_09h55.17.838,Reading the Room,2026.1.3,Win32,144.9275362,6a07d9e7902dfd92616b2406,6a8d07dd262e1077153a9ddf,6a9dfd2a6ff74fc277541c5e,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,339.6241,359.9714,1,20347,0.17777782,0.287962966,1,0,0,three_green_crosses,359.9715,360.9714,0,0,0,32,1,shape,images/3blueCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},0,2026-09-07_09h55.17.838,Reading the Room,2026.1.3,Win32,144.9275362,6a07d9e7902dfd92616b2406,6a8d07dd262e1077153a9ddf,6a9dfd2a6ff74fc277541c5e,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,360.9719,367.8463,1,6874,0.126851894,0.267592589,1,0,0,three_green_crosses,367.8464,368.8465,0,1,1,44,1,shape,images/3yellowCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},0,2026-09-07_09h55.17.838,Reading the Room,2026.1.3,Win32,144.9275362,6a07d9e7902dfd92616b2406,6a8d07dd262e1077153a9ddf,6a9dfd2a6ff74fc277541c5e,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,368.847,371.3044,0,2458,0.074074074,0.279629619,1,0,0,three_green_crosses,371.3049,372.3043,0,2,2,39,1,shape,images/3greenTriangles.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},0,2026-09-07_09h55.17.838,Reading the Room,2026.1.3,Win32,144.9275362,6a07d9e7902dfd92616b2406,6a8d07dd262e1077153a9ddf,6a9dfd2a6ff74fc277541c5e,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,372.3044,376.9363,0,4632,0.350000028,0.259259259,1,0,0,four_blue_stars,376.9364,377.9367,0,3,3,56,1,shape,images/4redCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},0,2026-09-07_09h55.17.838,Reading the Room,2026.1.3,Win32,144.9275362,6a07d9e7902dfd92616b2406,6a8d07dd262e1077153a9ddf,6a9dfd2a6ff74fc277541c5e,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,377.9372,380.6583,0,2721,-0.132407365,0.25833333,1,0,0,two_yellow_triangles,380.6584,381.6585,0,4,4,12,1,shape,images/1yellowCross.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},0,2026-09-07_09h55.17.838,Reading the Room,2026.1.3,Win32,144.9275362,6a07d9e7902dfd92616b2406,6a8d07dd262e1077153a9ddf,6a9dfd2a6ff74fc277541c5e,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,381.6589,385.7834,0,4124,-0.10092594,0.217592593,1,0,0,two_yellow_triangles,385.7835,386.7839,0,5,5,22,1,shape,images/2greenStars.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
