Participant_Info_Consent.block_1/Consent,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,dissent.started,dissent.stopped,Exclusion_Criteria_1.block_1/Mental_health_conditions,exclusion.started,exclusion.stopped,GroupAllocation.started,GroupAllocation.stopped,group,survey_demographics_IU.block_1/Sex,survey_demographics_IU.block_1/Age,survey_demographics_IU.block_1/Education,survey_demographics_IU.block_1/Ethnicity,survey_demographics_IU.block_1/Ethnicity-Comment,survey_demographics_IU.block_1/Politics,survey_demographics_IU.block_1/IU_scale.q1,survey_demographics_IU.block_1/IU_scale.q2,survey_demographics_IU.block_1/IU_scale.q3,survey_demographics_IU.block_1/IU_scale.q4,survey_demographics_IU.block_1/IU_scale.q5,survey_demographics_IU.block_1/IU_scale.q6,survey_demographics_IU.block_1/IU_scale.q7,survey_demographics_IU.block_1/IU_scale.q8,survey_demographics_IU.block_1/IU_scale.q9,survey_demographics_IU.block_1/IU_scale.q10,survey_demographics_IU.block_1/IU_scale.q11,survey_demographics_IU.block_1/IU_scale.q12,Instructions.started,Instructions.stopped,Example.started,Example.stopped,Trials.started,Trials.stopped,Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,Feedback.started,Feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows,Scenarios.block_1/Expert Panel,Scenarios.block_1/Team Tension,Scenarios.block_1/Networking Gaffe,Scenarios.block_1/Viral Oversight,Scenarios.block_1/question16,ProgressBar.started,ProgressBar.stopped,feedback_50.started,feedback_50.stopped,press_spacebar_2.keys,press_spacebar_2.rt,press_spacebar_2.duration,show_feeback_hi.thisRepN,show_feeback_hi.thisTrialN,show_feeback_hi.thisN,show_feeback_hi.thisIndex,show_feeback_hi.ran,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_1,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_2,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_3,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_4,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_5,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_6,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_7,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_8,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_9,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_10,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_11,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_12,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_13,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_14,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_15,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_16,ETMS_survey_end.block_1/Epistemic Trust Mistrust.Row 17,ETMS_survey_end.block_1/Epistemic Trust Mistrust.Row 18,ETMS_survey_end.block_1/Feedback check.Q1,ETMS_survey_end.block_1/Feedback check.Q2,ETMS_survey_end.block_1/Feedback check.Q3,ETMS_survey_end.block_1/StudyPurpose,ETMS_survey_end.block_1/WereYouEvaluated,ETMS_survey_end.block_1/Feedback_interpretation,ETMS_survey_end.block_1/Suspicious,ETMS_survey_end.block_1/Disclosure,ETMS_survey_end.block_1/Data use,End.started,End.stopped
,{{PROLIFIC_ID}},11,2026-09-06_22h14.06.095,Reading the Room,2026.1.3,Win32,59.88023952,66df3fb1714165680f1d4164,6a8d07dd262e1077153a9ddf,6a9e0f9891a7633d0090a3ea,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,306.3393,309.2886,0,2950,0.141927083,0.2265625,1,0,0,three_green_crosses,309.2892,310.2883,0,6,6,33,1,shape,images/3blueDots.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},11,2026-09-06_22h14.06.095,Reading the Room,2026.1.3,Win32,59.88023952,66df3fb1714165680f1d4164,6a8d07dd262e1077153a9ddf,6a9e0f9891a7633d0090a3ea,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,1,128:192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},11,2026-09-06_22h14.06.095,Reading the Room,2026.1.3,Win32,59.88023952,66df3fb1714165680f1d4164,6a8d07dd262e1077153a9ddf,6a9e0f9891a7633d0090a3ea,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,310.2959,313.3051,1,3009,-0.325520833,0.229166667,1,0,0,one_red_dot,313.3056,314.3048,0,0,0,56,1,colour,images/4redCrosses.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},11,2026-09-06_22h14.06.095,Reading the Room,2026.1.3,Win32,59.88023952,66df3fb1714165680f1d4164,6a8d07dd262e1077153a9ddf,6a9e0f9891a7633d0090a3ea,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,314.3055,317.5716,1,3266,-0.325520833,0.229166667,1,0,0,one_red_dot,317.5716,318.5714,0,1,1,59,1,colour,images/4redTriangles.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},11,2026-09-06_22h14.06.095,Reading the Room,2026.1.3,Win32,59.88023952,66df3fb1714165680f1d4164,6a8d07dd262e1077153a9ddf,6a9e0f9891a7633d0090a3ea,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,318.5722,322.6714,1,4099,-0.08984375,0.229166667,1,0,0,two_yellow_triangles,322.6715,323.6712,0,2,2,61,1,colour,images/4yellowDots.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},11,2026-09-06_22h14.06.095,Reading the Room,2026.1.3,Win32,59.88023952,66df3fb1714165680f1d4164,6a8d07dd262e1077153a9ddf,6a9e0f9891a7633d0090a3ea,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,323.6718,326.8878,1,3216,-0.08984375,0.229166667,1,0,0,two_yellow_triangles,326.888,327.8877,0,3,3,63,1,colour,images/4yellowTriangles.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},11,2026-09-06_22h14.06.095,Reading the Room,2026.1.3,Win32,59.88023952,66df3fb1714165680f1d4164,6a8d07dd262e1077153a9ddf,6a9e0f9891a7633d0090a3ea,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,327.8884,330.3544,1,2466,0.317708333,0.1796875,1,0,0,four_blue_stars,330.3546,331.3541,0,4,4,16,1,colour,images/2blueCrosses.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},11,2026-09-06_22h14.06.095,Reading the Room,2026.1.3,Win32,59.88023952,66df3fb1714165680f1d4164,6a8d07dd262e1077153a9ddf,6a9e0f9891a7633d0090a3ea,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,331.3547,333.4708,1,2116,0.372395833,0.1796875,1,0,0,four_blue_stars,333.471,334.4707,0,5,5,18,1,colour,images/2blueStars.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},11,2026-09-06_22h14.06.095,Reading the Room,2026.1.3,Win32,59.88023952,66df3fb1714165680f1d4164,6a8d07dd262e1077153a9ddf,6a9e0f9891a7633d0090a3ea,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,334.4713,336.7207,1,2250,-0.169270833,0.201822917,1,0,0,two_yellow_triangles,336.7209,337.7205,0,6,6,28,1,colour,images/2yellowCrosses.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},11,2026-09-06_22h14.06.095,Reading the Room,2026.1.3,Win32,59.88023952,66df3fb1714165680f1d4164,6a8d07dd262e1077153a9ddf,6a9e0f9891a7633d0090a3ea,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,1,0:64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
