"","participant","consent","illness","group","age","sex","education","ethnicity","politics","prop_correct_WCST","mean_RT_WCST","median_RT_WCST","study_purpose","evaluated","interpretation","suspicious","disclosure","data_use","IU_scale.q1","IU_scale.q2","IU_scale.q3","IU_scale.q4","IU_scale.q5","IU_scale.q6","IU_scale.q7","IU_scale.q8","IU_scale.q9","IU_scale.q10","IU_scale.q11","IU_scale.q12","ETMS_1","ETMS_2","ETMS_3","ETMS_4","ETMS_5","ETMS_6","ETMS_7","ETMS_8","ETMS_9","ETMS_10","ETMS_11","ETMS_12","ETMS_13","ETMS_14","ETMS_15","ETMS_16","ETMS_17","ETMS_18","Q1","Q2","Q3"
"24","6a24fd7340c8e0aa450c2b10","1","0","2","19","2","2","10","6","0.73015873015873","2227.60317460317","1993","To see how you make decisions based on information/context.","I believe the category selecting activity and social decision making activity evaluated my decision making skills based on the situation.","It said I did about average. I agree as my social decision making is not the best. I expected lower but seeing I did about what the average did was surprising in a sense.","No, I did not think of that at any point. As I continued the study I though my decisions were resulting in certain questions and more.","1","Item 1",2,3,4,1,2,1,4,0,2,1,3,1,5,7,3,1,7,6,2,2,1,1,5,1,2,6,1,1,2,4,2,4,3
"25","6a8cf0977a0aa3683078d6c1","1","0","1","41","1","5","8","4","0.888888888888889","2153.79365079365","1949","knknk","khkllk","khkjk","knlklk","2","1",0,1,1,3,2,1,2,3,3,2,1,0,1,2,3,4,4,3,2,2,3,4,5,5,4,3,2,2,2,3,7,7,7
"26","6a9b15277fd8a9a843892a04","1","0","2","23","1","4","6","5","0.73015873015873","1946.7619047619","1873","How our choices would change if we thought we were either good or bad and judging social situations.","Yes, the part that evaluated our ability to judge social situations.","I don't think there is any best way to handle social situations, so I interpreted it to be a fine score.","Yes, I believe the feedback may have been presented regardless of our choices to gauge how our answers would change in the next questionnaire.","2","Item 1",3,3,2,1,4,0,2,1,0,0,0,0,6,6,6,3,5,5,4,3,2,2,6,5,2,5,2,2,1,2,4,1,1
"27","5d352f8bb02857001963539a","1","0","1","26","5","4","4","2","0.761904761904762","2077.07936507937","1933","I think this study was testing people's social skills and social intelligence.","Yes, when I was doing the social situational judgement questions I felt like my social skills were being evaluated.","I felt like the feedback was very negative and it reinforces my own fears that I do not have very good social skills.","No","3","Item 1",3,4,2,4,2,1,2,4,4,4,4,3,5,6,7,2,5,4,5,6,3,2,6,4,4,2,5,6,4,6,7,7,7
"28","59cb95053306be000195be2e","1","0","2","33","1","2","4","6","0.698412698412698","2288.03174603175","2160","peoples decision making","no","neutral","no","3","1",4,4,3,3,4,2,3,3,1,3,4,3,7,7,1,4,5,5,6,3,4,3,7,5,3,6,4,3,4,3,1,1,5
"29","5bdc076eee652a0001efcc39","1","0","2","27","1","1","4","5","0.492063492063492","3552.77777777778","2765","A social intelligence test to see how people make choices when under pressure by their peers.","Somewhat, I felt a little shame when my performance wasn't that great.","A little ashamed but then I remembered this doesn't affect me really so I don't care.","Don't feel strongly about it really, don't care.","1","1",4,3,3,3,4,4,4,3,4,4,4,4,7,7,5,3,6,7,5,5,6,1,7,5,4,7,3,2,3,6,4,5,2
"30","5c2d3ba4731cd10001b647d7","1","0","1","43","2","4","5","3","0.761904761904762","2276.60317460317","2050","perceptions and ways to deal with situations and what people think about your behavior in those situations","yes, even though it was self reflective","with a grain of salt, i am who i am and will adapt or be made aware accordingly","i think i performed higher than average personally so i don't trust it but respect the algorithm or whatever it is, doesn't mean i have to agree with it though","3","1",2,2,2,3,2,2,3,2,1,1,1,1,6,7,7,4,7,7,7,6,6,5,7,7,7,7,7,7,3,6,7,7,7
"31","5ce10396c266e3001c8f7b9e","1","0","1","46","1","3","6","4","0.793650793650794","2328.03174603175","2062","HOW I INTERPET SOCIAL QUEUES AND MY RESPONSE TO THEM","YES","I WAS DISAPPOINTED TO BE HONEST I THOUGHT THAT I WOULD RATE HIGHER","NO","1","1",1,2,2,2,3,4,4,4,3,3,3,3,2,6,6,2,5,5,6,3,6,3,6,5,6,6,6,5,6,5,6,6,6
"32","5d195448e47637001cf4fb43","1","0","2","79","2","4","4","5","0.53968253968254","3427.38095238095","3043","Social intelligence","No","Probably correct","No, I was prepared to believe my performance was average","3","1",0,2,3,3,2,0,3,0,0,0,0,0,5,3,1,1,7,7,2,1,3,1,7,7,1,7,1,1,1,1,3,2,2
"33","5d2dd9b5a248bd0018a0d787","1","0","2","52","2","3","other","4","0.53968253968254","2510.25396825397","2351","Social reactions","yes","I'm not very good with social situations","no","3","1",1,2,3,1,2,3,3,0,0,0,1,1,2,6,3,1,3,4,5,4,2,3,5,6,2,5,1,4,2,5,6,6,7
"34","5d5f9c75ca10e90001bc020a","1","0","1","45","1","4","6","4","0.523809523809524","2389.65079365079","2116","study about two test, one Wisconsin test of recognise the figures by colours, shapes and numbers with ambigious instruction. Othe was some social test, to predict my ""future"" social interactions. I have no idea about the meaning this study for researchers.","No, I don't think the evaluation has been made exactly for me. I guess, this message received every participant of the study.","I didn't at all. I know myself better, than tests and it is not useful for me.","Yes, I think the same feedback has been provided to any participant.","1","1",2,2,3,1,0,3,2,1,0,2,0,1,3,5,5,1,4,5,6,3,2,1,5,5,3,5,3,5,2,5,6,1,1
"35","5d60c4bfc253680017cf4c17","1","0","1","56","1","4","11","4","0.619047619047619","2789.57142857143","2467","How people respond to social situations under pressure.","Yes I think so","I think it is an honest feedback based on my answers.","I trust that it is based on the performance. The test was timed and me as a participant need to read fast and select as fast as possible.","3","1",2,3,4,3,2,3,3,4,1,3,2,2,5,5,6,3,6,5,5,4,3,3,5,5,5,5,3,5,4,4,6,3,6
"36","5d75dff2b0b21000167a7336","1","0","2","89","2","5","4","2","0.619047619047619","4154.50793650794","3062","Personal characteristics and relative competence in social situations","Yes","I thought I would have been in a higher percentile.","No, I accept the decisions.","2","1",1,3,1,3,1,2,3,0,0,0,0,1,1,2,6,3,5,3,3,1,1,1,1,3,2,2,4,2,2,3,5,4,4
"37","5d887b1cc004480001269f15","1","0","2","28","2","4","12","6","0.634920634920635","2146.90476190476","1908","Someone's social awareness and emotional intelligence and behavioural habits","The social intelligence questions","I felt like I was interpretted negatively despite demonstrating that everyone will have a different style or value or philosophy","No","3","1",3,3,3,3,1,1,2,2,2,2,2,2,3,6,6,4,5,6,5,3,5,5,6,5,5,4,6,4,5,5,5,5,6
"38","5da74e9437d4210016492810","1","0","1","56","2","2","4","5","0.857142857142857","2619.8253968254","2333","Social intelligence.","Yes I felt that some part of the study involved being evaluated for my social intelligence.","I interpreted the feedback as having low social intelligence.","I felt that I could have been lied to about my social intelligence and the feedback.","3","1",1,3,2,2,1,1,0,1,0,2,1,1,2,3,4,3,5,5,3,3,2,1,2,5,2,5,5,5,4,2,6,6,7
"39","5e9fe193ee646a187ba7bf19","1","0","2","65","1","3","11","2","0.317460317460317","3523.53968253968","2633","I think it is about one's quick reaction to situations.","Yes","I think the feedback is valid.","No","1","1",1,2,3,0,1,1,3,1,1,1,0,1,3,5,2,2,5,5,5,5,2,3,6,5,3,5,3,3,3,3,2,2,2
"40","5f29eff59714081a3594a331","1","0","1","39","2","5","9","3","0.793650793650794","2153.74603174603","2065","Understanding patterns and social cues","Yes","I do not believe the feedback","Yes. The questions do not suggest one's inability to understand social cues","3","1",1,1,1,1,3,1,3,0,1,0,1,2,5,5,4,1,4,7,5,5,4,2,5,1,4,5,2,2,5,5,7,2,7
"41","5f6f0c6ce6ec2a454f76ce73","1","0","1","17","2","5","4","2","0.682539682539683","2770","2375","My social intelligence in social scenarios","No","It might be true and I would evaluate myself more carefully when interacting with others","No","3","1",1,2,2,1,1,2,2,1,0,1,1,2,3,5,5,2,4,5,3,3,5,2,3,5,5,5,4,4,5,5,6,5,6
"42","60a10d794573304f9e614e3f","1","0","2","76","1","3","4","5","0.603174603174603","2891.14285714286","2599","It's about a person's perception of what society considers appropriate behaviour.","Not really.","It was actually far from the truth about me.","I didn't feel that way at all; perhaps you have no other way of perceiving someone. But if this is evaluated by AI, then you wouldn't have a true evaluation.","1","1",1,4,3,2,2,2,3,2,0,0,0,0,5,3,6,1,6,6,7,5,4,1,6,5,6,7,6,6,1,5,3,4,3
"43","60cd45f3a4134f92558cc450","1","0","1","66","1","6","4","1","0.666666666666667","2569.01587301587","2411","I suspect that the changing rules in the first part and the resulting poor performance has a negative effect on the participant's self-confidence or perceived competence. Now that I have come to this section, the ranking of social intelligence that followed seemed biased and that might be the lead in to the actual part of the study -- the participant's self-perception after being ranked at a low level.","The second part about social intelligence seems to evaluate behaviour.","I thought that it was incorrect--and railed against it!--but perhaps it was accurate. I interpreted it as saying that I lacked social intelligence. (Which might actually be true.)","As the Wisconsin card study was throwing up a succession of incorrect assessments, I assumed that wasn't wholly based on performance. When these writing questions came up, I started to question whether the social intelligence section was accurate and whether the percentile given would vary if I had chosen other responses.","2","1",4,3,3,4,3,4,3,3,1,3,1,2,2,5,7,1,5,2,5,6,2,1,2,2,2,2,4,6,6,3,6,5,6
